PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLI SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
PIACENZA;LUGAGNANO VAL D'ARDA;;2;;38;1;6;0;2;0;49
PIACENZA;MONTICELLI D'ONGINA;;5;;76;0;10;0;;1;92
PIACENZA;MORFASSO;;;;8;0;1;1;;1;11
PIACENZA;NIBBIANO;;1;;29;0;5;0;;0;35
PIACENZA;OTTONE;;;;4;0;1;0;;0;5
PIACENZA;PECORARA;;1;;7;0;0;0;;0;8
PIACENZA;PIACENZA;;143;23;2441;0;344;1;13;22;2987
PIACENZA;PIANELLO VAL TIDONE;;4;;26;0;2;0;;0;32
PIACENZA;PIOZZANO;;1;;5;0;0;0;;0;6
PIACENZA;PODENZANO;;13;;153;1;31;0;;10;208
PIACENZA;PONTE DELL'OLIO;;4;;61;0;6;0;;1;72
PIACENZA;PONTENURE;;11;3;108;0;13;0;3;1;139
PIACENZA;RIVERGARO;;9;1;103;0;17;1;;1;132
PIACENZA;ROTTOFRENO;;9;7;191;1;30;0;;2;240
PIACENZA;SAN GIORGIO PIACENTINO;;1;;87;0;15;0;;1;104
PIACENZA;SAN PIETRO IN CERRO;;;;11;0;2;0;;0;13
PIACENZA;SARMATO;;1;;21;0;1;0;;0;23
PIACENZA;TRAVO;;4;;33;0;5;0;;0;42
PIACENZA;VERNASCA;;7;;24;0;0;0;;0;31
PIACENZA;VIGOLZONE;;11;1;74;0;14;0;1;1;102
PIACENZA;VILLANOVA SULL'ARDA;;3;;28;0;3;0;;0;34
PIACENZA;ZERBA;;;;2;0;1;0;;0;3
PIACENZA;ZIANO PIACENTINO;;3;1;43;0;8;0;;0;55
PARMA;ALBARETO;;;;21;0;2;0;;0;23
PARMA;BARDI;;4;1;14;0;2;0;;0;21
PARMA;BEDONIA;;4;;50;0;3;0;;1;58
PARMA;BERCETO;;3;;35;0;1;0;;0;39
PARMA;BORE;;2;;6;0;0;0;;0;8
PARMA;BORGO VAL DI TARO;;6;1;86;0;3;1;;0;97
PARMA;BUSSETO;;13;3;99;0;8;0;;0;123
PARMA;CALESTANO;;1;;26;0;2;1;;0;30
PARMA;COLLECCHIO;;26;56;259;0;46;0;;2;389
PARMA;COLORNO;;7;;139;0;10;0;;0;156
PARMA;COMPIANO;;;1;12;0;3;1;;0;17
PARMA;CORNIGLIO;;5;1;41;0;3;0;;0;50
PARMA;FELINO;;6;;160;0;21;2;;0;189
PARMA;FIDENZA;;28;4;382;0;39;1;10;3;467
PARMA;FONTANELLATO;;8;2;114;0;16;0;;0;140
PARMA;FONTEVIVO;;3;;99;0;15;0;2;1;120
PARMA;FORNOVO DI TARO;;7;;126;0;4;0;;0;137
PARMA;LANGHIRANO;;8;2;157;0;22;0;1;1;191
PARMA;LESIGNANO DE BAGNI;;6;;83;0;12;3;1;0;105
PARMA;MEDESANO;;10;1;184;0;22;0;;0;217
PARMA;MEZZANI;;5;;51;0;2;0;;0;58
PARMA;MONCHIO DELLE CORTI;;3;1;13;0;0;0;;0;17
PARMA;MONTECHIARUGOLO;;12;;180;0;18;0;;0;210
PARMA;NEVIANO DEGLI ARDUINI;;4;1;29;0;2;1;;0;37
PARMA;NOCETO;;14;2;216;0;30;0;;0;262
PARMA;PALANZANO;;;;14;0;1;0;;0;15
PARMA;PARMA;2;190;33;3879;11;473;3;2;7;4600
PARMA;PELLEGRINO PARMENSE;;;;12;0;3;0;;0;15
PARMA;POLESINE ZIBELLO;;4;;49;0;3;0;;1;57
PARMA;ROCCABIANCA;;1;;48;0;2;0;;0;51
PARMA;SALA BAGANZA;;11;;99;0;8;1;;1;120
PARMA;SALSOMAGGIORE TERME;;15;2;343;0;37;0;1;1;399
PARMA;SAN SECONDO PARMENSE;;5;1;79;0;10;0;;0;95
PARMA;SISSA TRECASALI;;2;1;117;0;7;0;;0;127
PARMA;SOLIGNANO;;3;;37;0;3;1;;0;44
PARMA;SORAGNA;;8;1;99;0;12;0;;0;120
PARMA;SORBOLO;;5;3;186;0;17;1;1;0;213
PARMA;TERENZO;;;;23;0;3;0;;0;26
PARMA;TIZZANO VAL PARMA;;1;;29;0;0;0;;0;30
PARMA;TORNOLO;;1;;18;0;2;0;;0;21
PARMA;TORRILE;;8;5;154;0;11;0;;4;182
PARMA;TRAVERSETOLO;;10;3;165;1;34;1;;0;214
PARMA;VALMOZZOLA;;1;;6;0;0;0;;0;7
PARMA;VARANO DE' MELEGARI;;4;;44;0;3;0;;1;52
PARMA;VARSI;;1;;14;1;0;0;;0;16
RAVENNA;ALFONSINE;;15;;173;0;18;0;1;3;210
RAVENNA;BAGNACAVALLO;;18;1;255;0;26;0;;1;301
RAVENNA;BAGNARA DI ROMAGNA;;1;;38;0;5;0;;0;44
RAVENNA;BRISIGHELLA;;5;;89;1;11;0;;0;106
RAVENNA;CASOLA VALSENIO;;4;;17;0;3;0;;0;24
RAVENNA;CASTEL BOLOGNESE;;3;3;132;0;14;0;;1;153
RAVENNA;CERVIA;;41;3;424;0;76;1;1;1;547
RAVENNA;CONSELICE;;4;3;137;0;16;0;;0;160
RAVENNA;COTIGNOLA;;8;1;108;0;12;0;;0;129
RAVENNA;FAENZA;;83;14;1003;0;151;2;2;2;1257
RAVENNA;FUSIGNANO;;7;;112;0;19;0;2;0;140
RAVENNA;LUGO;2;41;5;479;0;74;0;1;1;603
RAVENNA;MASSA LOMBARDA;;5;1;138;0;17;0;2;0;163
RAVENNA;RAVENNA;;173;17;3068;1;406;0;5;16;3686
RAVENNA;RIOLO TERME;1;9;;62;0;16;0;1;1;90
RAVENNA;RUSSI;;8;;175;0;26;0;;0;209
RAVENNA;SANT'AGATA SUL SANTERNO;;1;1;38;0;39;0;;0;79
RAVENNA;SOLAROLO;;5;1;71;0;5;0;;0;82
REGGIO EMILIA;ALBINEA;;9;4;152;0;17;0;;1;183
REGGIO EMILIA;BAGNOLO IN PIANO;;5;3;152;0;14;0;1;1;176
REGGIO EMILIA;BAISO;;4;2;59;0;3;0;;0;68
REGGIO EMILIA;BIBBIANO;;7;2;140;0;16;1;1;0;167
REGGIO EMILIA;BORETTO;;5;;83;0;4;0;;0;92
REGGIO EMILIA;BRESCELLO;;14;1;266;0;2;0;1;2;286
REGGIO EMILIA;CADELBOSCO DI SOPRA;;11;;129;0;20;0;;0;160
REGGIO EMILIA;CAMPAGNOLA EMILIA;;7;1;86;0;3;0;;1;98
REGGIO EMILIA;CAMPEGINE;;5;;78;0;10;0;;0;93
REGGIO EMILIA;CANOSSA;;6;1;52;0;10;0;;0;69
REGGIO EMILIA;CARPINETI;;5;1;63;1;5;2;;0;77
REGGIO EMILIA;CASALGRANDE;;26;;373;0;36;0;;0;435
REGGIO EMILIA;CASINA;;6;;61;0;5;0;;0;72
REGGIO EMILIA;CASTELLARANO;;21;;303;0;33;0;1;3;361
REGGIO EMILIA;CASTELNOVO DI SOTTO;;7;2;122;0;8;0;;0;139
REGGIO EMILIA;CASTELNOVO NE' MONTI;;15;1;203;0;13;1;;1;234
REGGIO EMILIA;CAVRIAGO;;14;2;158;0;14;0;;1;189
REGGIO EMILIA;CORREGGIO;;25;2;412;0;63;0;;8;510
REGGIO EMILIA;FABBRICO;;7;;97;0;5;0;;0;109
REGGIO EMILIA;GATTATICO;;10;;80;0;11;0;;0;101
REGGIO EMILIA;GUALTIERI;;3;2;100;0;20;0;1;0;126
REGGIO EMILIA;GUASTALLA;;9;2;206;0;20;0;1;0;238
REGGIO EMILIA;LUZZARA;;7;;125;0;13;1;;0;146
REGGIO EMILIA;MONTECCHIO EMILIA;;13;1;149;0;18;0;;0;181
REGGIO EMILIA;NOVELLARA;;17;6;159;0;31;0;;0;213
REGGIO EMILIA;POVIGLIO;;9;1;107;0;3;0;;0;120
REGGIO EMILIA;QUATTRO CASTELLA;;17;3;235;0;47;0;;0;302
REGGIO EMILIA;REGGIO NELL'EMILIA;6;800;148;4984;2;349;4;59;93;6445
REGGIO EMILIA;REGGIOLO;;12;;126;0;10;0;;0;148
REGGIO EMILIA;RIO SALICETO;;6;1;87;0;5;0;1;1;101
REGGIO EMILIA;ROLO;;;;55;0;6;0;;0;61
REGGIO EMILIA;RUBIERA;;17;1;255;0;29;0;;1;303
REGGIO EMILIA;SAN MARTINO IN RIO;;7;;105;0;17;0;;1;130
REGGIO EMILIA;SAN POLO D'ENZA;;6;1;72;0;16;1;;0;96
REGGIO EMILIA;SANT'ILARIO D'ENZA;1;10;2;178;0;16;0;;0;207
REGGIO EMILIA;SCANDIANO;;30;4;431;0;35;0;1;0;501
REGGIO EMILIA;TOANO;;7;2;75;0;3;0;;4;91
REGGIO EMILIA;VENTASSO;;8;1;71;0;4;1;;1;86
REGGIO EMILIA;VETTO;;5;;19;0;3;0;;0;27
REGGIO EMILIA;VEZZANO SUL CROSTOLO;;12;1;62;0;6;0;;0;81
REGGIO EMILIA;VIANO;;3;;57;0;10;1;1;1;73
REGGIO EMILIA;VILLA MINOZZO;1;4;;52;1;2;1;;0;61
RIMINI;BELLARIA IGEA MARINA;;15;1;237;0;41;0;;1;295
RIMINI;CASTELDELCI;;;;2;0;0;0;;0;2
RIMINI;CATTOLICA;;12;3;209;0;111;0;1;2;338
RIMINI;CORIANO;;15;2;145;0;39;1;1;0;203
RIMINI;GEMMANO;;;;6;0;5;0;;0;11
RIMINI;MAIOLO;;1;;5;0;1;0;;0;7
RIMINI;MISANO ADRIATICO;;19;3;154;0;65;1;;1;243
RIMINI;MONDAINO;;;;17;0;4;0;;0;21
RIMINI;MONTEFIORE CONCA;;;;32;0;3;0;;0;35
RIMINI;MONTEGRIDOLFO;;;;19;0;4;0;;0;23
RIMINI;MONTESCUDO-MONTE COLOMBO;;1;;86;0;25;0;;0;112
RIMINI;MORCIANO DI ROMAGNA;;5;;89;0;33;0;;0;127
RIMINI;NOVAFELTRIA;;4;3;74;0;16;0;;0;97
RIMINI;PENNABILLI;;1;;24;0;2;0;;0;27
RIMINI;POGGIO TORRIANA;;9;;75;0;15;0;;0;99
RIMINI;RICCIONE;;24;7;423;1;177;0;;0;632
RIMINI;RIMINI;;158;72;2210;3;697;1;1;3;3145
RIMINI;SALUDECIO;;2;;39;0;6;0;;0;47
RIMINI;SAN CLEMENTE;;7;;61;0;22;0;;0;90
RIMINI;SAN GIOVANNI IN MARIGNANO;;11;;178;0;77;0;;3;269
RIMINI;SAN LEO;;1;;20;0;4;0;;0;25
RIMINI;SANT'AGATA FELTRIA;;1;;23;0;2;0;;0;26
RIMINI;SANTARCANGELO DI ROMAGNA;;29;5;296;0;56;0;2;3;391
RIMINI;TALAMELLO;;;;15;0;2;0;;0;17
RIMINI;VERUCCHIO;;9;3;105;1;27;0;;0;145
Totale complessivo;;58;5634;1009;80785;59;10373;79;250;400;98647
