;;AUTOBUS;AUTOCARRI TRASPORTO MERCI;AUTOVEICOLI SPECIALI / SPECIFICI;AUTOVETTURE;MOTOCARRI E QUADRICICLI TRASPORTO MERCI;MOTOCICLI;MOTOVEICOLI E QUADRICICLI SPECIALI / SPECIFICI;NON DEFINITO;TRATTORI STRADALI O MOTRICI;Somma:
RIMINI;MONTESCUDO-MONTE COLOMBO;1;458;69;4.640;17;1.261;8;-;12;6.466
RIMINI;MORCIANO DI ROMAGNA;16;451;94;4.781;11;1.412;13;-;8;6.786
RIMINI;NON DEFINITO RN;-;-;-;1;-;3;-;-;-;4
RIMINI;NOVAFELTRIA;9;503;167;4.930;22;1.023;17;-;29;6.700
RIMINI;PENNABILLI;5;268;42;2.112;30;307;12;-;19;2.795
RIMINI;POGGIO TORRIANA;2;561;69;3.866;14;1.052;11;-;14;5.589
RIMINI;RICCIONE;32;1.950;349;23.221;146;8.199;85;-;42;34.024
RIMINI;RIMINI;342;9.223;2.272;93.657;290;34.371;178;-;313;140.646
RIMINI;SALUDECIO;3;253;33;2.292;20;630;6;-;4;3.241
RIMINI;SAN CLEMENTE;25;535;65;3.989;16;1.220;10;-;4;5.864
RIMINI;SAN GIOVANNI IN MARIGNANO;5;875;146;6.828;47;2.526;35;-;22;10.484
RIMINI;SAN LEO;77;275;33;1.937;11;344;6;-;12;2.695
RIMINI;SANT'AGATA FELTRIA;8;181;24;1.400;15;218;3;-;2;1.851
RIMINI;SANTARCANGELO DI ROMAGNA;2;1.896;381;15.428;69;4.112;17;-;88;21.993
RIMINI;SASSOFELTRIO;1;138;26;1.139;10;227;6;-;2;1.549
RIMINI;TALAMELLO;2;102;25;766;6;143;-;-;11;1.055
RIMINI;VERUCCHIO;2;735;127;6.677;31;1.761;9;-;19;9.361
;Somma:;6.244;347.906;67.921;2.961.375;5.865;565.635;7.101;2;17.601;3.979.650
