;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
FORLI'-CESENA;GATTEO;1.170;1.165;545;646;783;854;611;2.734;6;8.514
FORLI'-CESENA;LONGIANO;945;979;463;523;749;697;495;2.393;6;7.250
FORLI'-CESENA;MELDOLA;1.120;1.152;559;573;814;776;500;3.502;3;8.999
FORLI'-CESENA;MERCATO SARACENO;846;927;398;482;669;660;414;2.160;4;6.560
FORLI'-CESENA;MODIGLIANA;533;493;261;264;342;342;234;1.670;2;4.141
FORLI'-CESENA;MONTIANO;239;246;82;108;156;152;85;598;1;1.667
FORLI'-CESENA;NON DEFINITO FC;1;-;-;-;-;-;-;28;-;29
FORLI'-CESENA;PORTICO E SAN BENEDETTO;94;76;24;44;54;47;25;265;-;629
FORLI'-CESENA;PREDAPPIO;732;696;339;415;501;472;368;2.446;-;5.969
FORLI'-CESENA;PREMILCUORE;75;77;36;35;49;34;44;371;2;723
FORLI'-CESENA;ROCCA SAN CASCIANO;193;192;80;127;133;117;107;732;-;1.681
FORLI'-CESENA;RONCOFREDDO;482;431;204;227;316;309;227;1.470;2;3.668
FORLI'-CESENA;SAN MAURO PASCOLI;1.480;1.473;684;852;1.082;1.103;770;3.272;3;10.719
FORLI'-CESENA;SANTA SOFIA;476;416;200;247;300;280;217;1.592;3;3.731
FORLI'-CESENA;SARSINA;368;377;183;220;278;252;172;1.316;1;3.167
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;2.197;2.161;992;1.152;1.537;1.562;1.013;5.554;11;16.179
FORLI'-CESENA;SOGLIANO AL RUBICONE;448;385;189;208;265;248;171;1.253;1;3.168
FORLI'-CESENA;TREDOZIO;122;143;63;68;81;85;58;437;-;1.057
FORLI'-CESENA;VERGHERETO;231;251;92;112;131;135;86;807;1;1.846
MODENA;BASTIGLIA;426;456;285;424;382;410;287;1.006;-;3.676
MODENA;BOMPORTO;1.151;1.114;663;759;1.053;984;701;2.805;12;9.242
MODENA;CAMPOGALLIANO;1.086;997;575;660;926;945;674;2.452;5;8.320
MODENA;CAMPOSANTO;357;305;190;178;279;234;173;1.089;2;2.807
MODENA;CARPI;6.958;7.096;4.117;4.737;6.649;6.768;4.909;16.693;42;57.969
MODENA;CASTELFRANCO EMILIA;3.533;3.474;2.018;2.379;3.132;3.037;2.220;8.524;29;28.346
MODENA;CASTELNUOVO RANGONE;1.462;1.504;960;1.234;1.598;1.585;1.173;3.609;6;13.131
MODENA;CASTELVETRO DI MODENA;1.157;1.204;699;853;1.242;1.158;796;3.413;7;10.529
MODENA;CAVEZZO;760;750;446;460;618;595;378;2.105;7;6.119
MODENA;CONCORDIA SULLA SECCHIA;977;1.007;558;605;677;749;501;2.835;4;7.913
MODENA;FANANO;411;352;164;183;260;243;160;1.241;4;3.018
MODENA;FINALE EMILIA;1.677;1.617;921;1.068;1.366;1.226;810;4.877;16;13.578
MODENA;FIORANO MODENESE;1.922;1.953;1.140;1.413;1.982;1.856;1.285;4.913;9;16.473
MODENA;FIUMALBO;184;145;76;89;103;104;60;542;-;1.303
MODENA;FORMIGINE;3.385;3.747;2.249;2.795;3.650;3.795;2.456;8.018;20;30.115
MODENA;FRASSINORO;232;190;118;123;173;168;121;667;2;1.794
MODENA;GUIGLIA;491;423;254;258;369;325;275;1.562;2;3.959
MODENA;LAMA MOCOGNO;386;282;140;162;216;223;144;1.696;1;3.250
MODENA;MARANELLO;1.907;1.869;1.081;1.412;1.841;1.741;1.174;4.770;18;15.813
MODENA;MARANO SUL PANARO;605;581;337;357;539;461;364;1.741;9;4.994
MODENA;MEDOLLA;724;729;408;556;694;586;431;1.582;1;5.711
MODENA;MIRANDOLA;2.646;2.748;1.554;1.739;2.323;2.295;1.728;7.492;12;22.537
MODENA;MODENA;17.931;18.812;10.785;13.121;17.893;17.755;13.714;46.628;128;156.767
MODENA;MONTECRETO;127;110;77;58;70;65;36;417;-;960
MODENA;MONTEFIORINO;284;241;126;166;194;215;137;805;1;2.169
MODENA;MONTESE;449;458;208;273;360;342;183;1.405;3;3.681
MODENA;NONANTOLA;1.603;1.679;996;1.140;1.514;1.434;1.178;3.955;4;13.503
MODENA;NON DEFINITO MO;-;-;-;-;-;-;-;25;-;25
MODENA;NOVI DI MODENA;1.128;988;545;641;829;840;542;3.034;8;8.555
MODENA;PALAGANO;297;247;136;142;199;179;123;970;-;2.293
MODENA;PAVULLO NEL FRIGNANO;2.180;1.983;1.024;1.163;1.582;1.426;971;6.851;10;17.190
MODENA;PIEVEPELAGO;296;246;129;119;166;145;109;975;-;2.185
MODENA;POLINAGO;220;165;89;76;122;116;74;888;2;1.752
MODENA;PRIGNANO SULLA SECCHIA;462;418;273;293;463;360;229;1.469;3;3.970
MODENA;RAVARINO;703;667;348;434;553;560;337;1.914;3;5.519
MODENA;RIOLUNATO;92;94;40;41;53;67;47;299;-;733
MODENA;SAN CESARIO SUL PANARO;682;723;459;502;712;719;485;1.802;6;6.090
MODENA;SAN FELICE SUL PANARO;1.206;1.176;649;724;979;903;633;3.373;12;9.655
MODENA;SAN POSSIDONIO;369;308;197;201;281;256;207;1.263;2;3.084
MODENA;SAN PROSPERO;723;686;362;418;574;592;389;1.998;2;5.744
MODENA;SASSUOLO;4.372;4.090;2.355;3.003;4.136;3.844;2.916;12.313;33;37.062
MODENA;SAVIGNANO SUL PANARO;1.086;979;568;659;893;877;559;2.580;2;8.203
MODENA;SERRAMAZZONI;1.056;969;531;608;811;754;477;3.795;5;9.006
MODENA;SESTOLA;398;287;140;161;208;219;125;1.102;3;2.643
MODENA;SOLIERA;1.631;1.642;959;1.086;1.519;1.505;1.080;4.033;7;13.462
MODENA;SPILAMBERTO;1.407;1.449;797;932;1.189;1.260;881;3.383;9;11.307
MODENA;VIGNOLA;2.716;2.674;1.506;1.767;2.406;2.267;1.659;6.900;15;21.910
MODENA;ZOCCA;543;508;267;300;429;355;262;1.812;6;4.482
PARMA;ALBARETO;251;261;143;138;161;167;108;1.014;1;2.244
PARMA;BARDI;259;236;125;146;147;140;108;1.286;-;2.447
PARMA;BEDONIA;394;399;174;221;248;232;162;1.348;1;3.179
PARMA;BERCETO;218;195;97;132;181;168;118;849;1;1.959
PARMA;BORE;82;79;26;35;57;37;29;275;1;621
PARMA;BORGO VAL DI TARO;744;712;353;413;488;500;341;2.524;1;6.076
PARMA;BUSSETO;725;752;390;485;630;648;429;2.025;4;6.088
PARMA;CALESTANO;239;255;134;174;198;214;117;812;-;2.143
PARMA;COLLECCHIO;1.469;1.733;1.012;1.311;1.588;1.648;1.208;3.524;7;13.500
PARMA;COLORNO;885;961;530;607;857;782;534;2.546;2;7.704
PARMA;COMPIANO;126;131;63;76;92;87;64;465;-;1.104
PARMA;CORNIGLIO;223;238;102;119;161;138;89;899;2;1.971
PARMA;FELINO;903;995;577;692;967;989;653;2.302;2;8.080
PARMA;FIDENZA;2.682;2.865;1.483;1.806;2.562;2.482;1.791;6.525;5;22.201
PARMA;FONTANELLATO;778;757;428;531;695;734;437;2.120;1;6.481
PARMA;FONTEVIVO;688;697;388;457;602;637;415;1.685;1;5.570
PARMA;FORNOVO DI TARO;629;668;314;381;478;485;380;2.028;2;5.365
PARMA;LANGHIRANO;1.203;1.212;629;742;1.014;1.036;719;3.417;2;9.974
PARMA;LESIGNANO DE BAGNI;618;617;379;406;532;523;383;1.609;-;5.067
PARMA;MEDESANO;1.246;1.310;711;820;1.029;1.036;784;3.531;2;10.469
PARMA;MONCHIO DELLE CORTI;130;89;54;63;68;73;32;422;-;931
