EMILIA ROMAGNA;;2003 - 2005;2006 - 2008;2009 - 2010;2011 - 2012;2013 - 2014;2015 - 2016;2017 - 2018;FINO AL 2002;NON DEFINITO;Somma:
REGGIO EMILIA;VEZZANO SUL CROSTOLO;442;616;394;306;258;327;378;960;-;3.681
REGGIO EMILIA;VIANO;360;510;302;286;232;297;285;976;-;3.248
REGGIO EMILIA;VILLA MINOZZO;450;543;379;263;186;277;273;995;2;3.368
RIMINI;BELLARIA IGEA MARINA;2.086;2.566;1.726;1.315;1.066;1.373;1.433;4.624;9;16.198
RIMINI;CASTELDELCI;40;77;42;21;20;19;24;186;-;429
RIMINI;CATTOLICA;2.011;2.674;1.702;1.223;1.002;1.436;1.418;4.579;10;16.055
RIMINI;CORIANO;1.380;1.735;1.198;927;745;970;1.074;3.112;4;11.145
RIMINI;GEMMANO;155;161;87;70;67;76;83;536;-;1.235
RIMINI;MAIOLO;104;130;88;44;37;49;49;287;-;788
RIMINI;MISANO ADRIATICO;1.690;2.201;1.564;1.026;928;1.159;1.235;3.810;10;13.623
RIMINI;MONDAINO;143;198;126;90;63;96;89;476;-;1.281
RIMINI;MONTEFIORE CONCA;252;349;201;149;128;149;173;712;1;2.114
RIMINI;MONTEGRIDOLFO;134;124;109;69;60;84;76;373;1;1.030
RIMINI;MONTESCUDO-MONTE COLOMBO;785;994;656;436;371;516;548;1.872;-;6.178
RIMINI;MORCIANO DI ROMAGNA;813;1.043;702;508;390;557;631;1.850;2;6.496
RIMINI;NON DEFINITO RN;-;-;-;-;-;-;-;5;-;5
RIMINI;NOVAFELTRIA;891;1.017;647;481;380;505;513;1.975;-;6.409
RIMINI;PENNABILLI;327;383;247;188;154;166;202;958;-;2.625
RIMINI;POGGIO TORRIANA;633;865;538;433;357;457;472;1.661;1;5.417
RIMINI;RICCIONE;4.181;5.304;3.592;2.676;2.171;2.801;2.904;9.466;28;33.123
RIMINI;RIMINI;16.409;22.269;15.283;10.920;9.290;11.924;13.220;35.846;98;135.259
RIMINI;SALUDECIO;355;459;293;178;141;219;236;991;1;2.873
RIMINI;SAN CLEMENTE;653;881;604;426;362;472;527;1.448;3;5.376
RIMINI;SAN GIOVANNI IN MARIGNANO;1.185;1.610;1.026;851;634;946;962;2.893;13;10.120
RIMINI;SAN LEO;338;410;226;191;127;198;214;875;4;2.583
RIMINI;SANT'AGATA FELTRIA;259;288;166;138;116;157;156;612;1;1.893
RIMINI;SANTARCANGELO DI ROMAGNA;2.501;3.290;2.380;1.704;1.409;1.868;1.874;5.748;15;20.789
RIMINI;TALAMELLO;146;170;109;82;65;97;84;328;-;1.081
RIMINI;VERUCCHIO;1.047;1.461;976;723;570;761;905;2.288;5;8.736
Somma:;;444.269;582.476;387.958;318.860;292.756;377.498;405.880;1.039.094;2.039;3.850.830
;;;;;;;;;;;
Pagina 2;;;;;;;;;;;
