;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
MODENA;FINALE EMILIA;-;3.845;1.285;435;25;4.646;-;342;67;99;-;10.744
MODENA;FIORANO MODENESE;-;5.072;1.171;390;57;5.331;-;528;110;101;-;12.760
MODENA;FIUMALBO;-;429;33;3;2;436;-;39;4;-;-;946
MODENA;FORMIGINE;-;9.967;2.680;894;148;8.933;-;1.373;201;204;-;24.400
MODENA;FRASSINORO;-;550;69;22;1;592;-;49;5;2;-;1.290
MODENA;GUIGLIA;-;1.122;296;123;11;1.413;-;137;16;13;-;3.131
MODENA;LAMA MOCOGNO;-;940;145;26;2;1.065;-;89;8;3;-;2.278
MODENA;MARANELLO;-;5.076;1.221;574;49;4.946;-;526;79;119;-;12.590
MODENA;MARANO SUL PANARO;-;1.475;309;132;18;1.638;-;187;23;27;1;3.810
MODENA;MEDOLLA;-;1.538;418;249;22;1.958;-;191;41;69;-;4.486
MODENA;MIRANDOLA;-;6.758;1.692;559;97;7.786;-;724;140;150;-;17.906
MODENA;MODENA;2;52.955;15.041;4.935;841;40.281;1;8.840;1.255;1.090;1;125.242
MODENA;MONTECRETO;-;268;56;9;1;351;-;19;5;2;-;711
MODENA;MONTEFIORINO;-;584;88;28;5;765;-;62;6;3;-;1.541
MODENA;MONTESE;-;1.110;171;60;7;1.097;-;83;12;12;-;2.552
MODENA;NONANTOLA;-;3.768;1.663;544;54;4.183;-;550;68;126;-;10.956
MODENA;NON DEFINITO MO;-;13;-;-;-;2;-;-;-;-;-;15
MODENA;NOVI DI MODENA;-;2.524;843;247;37;2.827;-;242;46;55;-;6.821
MODENA;PALAGANO;-;579;82;18;2;849;-;55;6;6;-;1.597
MODENA;PAVULLO NEL FRIGNANO;1;5.527;986;171;37;6.278;-;481;83;26;-;13.590
MODENA;PIEVEPELAGO;-;774;71;13;1;695;-;58;7;-;-;1.619
MODENA;POLINAGO;-;563;93;20;5;551;-;50;7;6;-;1.295
MODENA;PRIGNANO SULLA SECCHIA;-;1.005;227;79;9;1.452;-;86;18;16;-;2.892
MODENA;RAVARINO;-;1.496;626;227;18;1.913;-;193;23;54;-;4.550
MODENA;RIOLUNATO;-;256;32;6;-;243;-;22;3;1;-;563
MODENA;SAN CESARIO SUL PANARO;-;1.680;635;279;26;1.775;-;242;47;61;1;4.746
MODENA;SAN FELICE SUL PANARO;-;2.700;837;270;23;3.403;-;255;63;71;-;7.622
MODENA;SAN POSSIDONIO;-;984;252;64;7;1.046;-;62;6;19;1;2.441
MODENA;SAN PROSPERO;-;1.451;535;209;16;1.966;-;163;33;33;-;4.406
MODENA;SASSUOLO;2;12.445;2.541;858;147;12.009;1;1.409;221;190;1;29.824
MODENA;SAVIGNANO SUL PANARO;-;2.339;698;357;28;2.665;-;283;45;69;-;6.484
MODENA;SERRAMAZZONI;-;2.312;665;192;12;3.242;-;282;26;31;-;6.762
MODENA;SESTOLA;-;699;144;24;8;936;-;82;11;11;-;1.915
MODENA;SOLIERA;-;3.892;1.435;394;67;4.249;-;606;69;84;1;10.797
MODENA;SPILAMBERTO;-;3.223;994;595;52;3.386;-;438;70;133;-;8.891
MODENA;VIGNOLA;-;6.657;1.731;727;92;7.225;-;804;158;144;-;17.538
MODENA;ZOCCA;-;1.337;263;117;7;1.562;-;156;20;16;-;3.478
PARMA;ALBARETO;-;741;125;205;1;573;-;42;5;31;-;1.723
PARMA;BARDI;1;883;64;52;1;747;-;44;2;6;-;1.800
PARMA;BEDONIA;-;1.056;127;164;2;885;-;62;6;28;-;2.330
PARMA;BERCETO;1;572;125;76;1;607;-;49;9;11;-;1.451
PARMA;BORE;-;213;44;19;-;193;-;11;1;3;-;484
PARMA;BORGO VAL DI TARO;-;1.976;327;499;14;1.705;-;125;17;90;-;4.753
PARMA;BUSSETO;1;1.710;332;138;10;2.151;-;114;29;32;-;4.517
PARMA;CALESTANO;-;485;133;96;2;685;-;38;9;20;-;1.468
PARMA;COLLECCHIO;2;3.763;1.047;710;60;3.917;-;545;78;146;-;10.268
PARMA;COLORNO;-;2.328;636;318;29;2.507;1;228;48;59;-;6.154
